SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0.4395043859493373,0.6059687595474653,0.8182459768692469,True,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True
0,-1.0962174256229265,0.2072795589653144,-0.8006484307434113,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False
1,1.2073652917354691,-0.9521515035249537,0.03508402241084746,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True
0,0.1035652396679046,-1.2937442647928503,-0.7070323993629387,False,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
0,-0.9522435057880267,0.6207085647249545,-0.5665172011756682,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,0.3435217727260708,0.7089016189052462,0.7967960459953837,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0.9194174520656697,1.234103207959271,1.8524885964894109,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,True,False,False
0,0.19954785289117108,1.7061849902306234,1.304387465426971,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True
0,-1.5281391851276256,-1.3632192784421449,-1.3056088824341316,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False
1,-0.7122869727298605,-1.5868271159108964,-1.117469492083253,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False
0,1.1593739851238358,0.558789470332736,1.495960819116709,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False
0,-1.1922000388461929,0.37885941983502225,-0.8586915233572044,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True
0,-0.8562608925647602,-1.0890010995507682,-0.9944188238579996,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True
0,1.5433044380169019,1.263038582061492,2.6436102560703274,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False
0,-0.616304359506594,1.3789705780385213,0.07346996283408888,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False
0,1.2073652917354691,-0.2755509973395607,0.7102861014691909,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False
0,0.9194174520656697,-1.0425345782861406,-0.1919868352969733,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False
1,-0.8562608925647602,-1.569951051236435,-1.1412291433201018,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
0,1.4473218247936352,-0.7482007276274784,0.3686014887229061,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
0,1.3513392115703688,0.9791464399858436,2.1107195553796476,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False
0,-1.0482261190112931,0.6562389356775775,-0.6452681130702226,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
1,-0.8082695859531269,1.5631883531854245,-0.10991909491747591,True,False,True,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False
0,0.6794609190075035,0.5551218260155785,1.0307821735495533,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
