customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-A859,Male,0,No,No,50,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),39.40918425720321,1982.2652379201752,Yes
5506-A328,Female,0,No,Yes,46,No,No,DSL,No,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Electronic check,52.29349692682492,2389.817945074304,No
3286-C204,Male,0,No,Yes,3,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,74.69897963114335,220.2858373448901,No
9935-A704,Male,0,No,Yes,6,No,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),77.8578342216351,471.2120210554165,No
7912-A130,Male,0,Yes,No,34,No,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),55.66763818131365,1873.7538948670765,Yes
2535-A338,Female,0,Yes,No,47,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),46.39534716446393,2167.3674191631635,No
9279-C127,Male,1,No,No,72,No,No phone service,Fiber optic,No,Yes,No internet service,No,No,No internet service,Two year,Yes,Credit card (automatic),45.756913263603884,3308.3185973294558,No
4257-C765,Male,0,Yes,No,71,No,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.807284817800294,2542.915168126722,No
9928-B325,Male,1,No,No,44,Yes,No phone service,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),50.95319871412351,2253.7077443580283,Yes
8359-C384,Female,0,Yes,No,71,Yes,No,No,No,No internet service,No,No,No,No,Month-to-month,No,Bank transfer (automatic),38.293753869828606,2720.6774807167794,No
1106-A814,Male,0,No,No,18,No,Yes,No,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.94844832610946,1499.6310342399186,Yes
7924-B384,Male,0,No,Yes,62,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),75.44123332333001,4681.743788878414,No
3547-A881,Male,1,Yes,No,37,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),56.700176778927464,2110.604330224665,No
6514-A194,Male,1,Yes,Yes,66,No,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),50.99591700370814,3363.2696578798345,No
7224-A467,Female,0,No,Yes,58,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),42.130227119561575,2445.6604690187546,No
6635-C370,Male,0,No,No,68,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),72.0635600504138,4906.740791202428,No
1711-C570,Female,0,Yes,No,12,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,110.59972781674168,1335.2747983863533,Yes
9785-A487,Female,0,Yes,Yes,46,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,No,Yes,Two year,Yes,Electronic check,87.16315666458819,4009.1152972071964,No
2291-C400,Female,1,No,Yes,60,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,93.06367876057452,5583.84816953139,No
6925-C296,Male,0,Yes,No,30,No,No phone service,No,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),102.10497529746898,3068.1684565044743,No
2139-A777,Female,0,No,No,21,Yes,Yes,No,No,Yes,Yes,No internet service,No,Yes,One year,No,Electronic check,53.5893148204538,1130.3882424510318,No
4733-B181,Male,0,No,Yes,42,Yes,No phone service,No,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),24.569016102506005,1021.6480923293617,No
4814-A489,Female,1,No,No,66,No,Yes,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),80.81715973382525,5336.182153949293,No
5554-B750,Female,1,No,No,53,No,No,DSL,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.21156526841728,1975.4206984931002,No
6977-A479,Female,0,Yes,No,9,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No,Two year,No,Electronic check,75.43888682456446,669.1867998480485,No
6820-A786,Female,0,Yes,Yes,41,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,92.57077843228501,3804.4611840527723,No
5374-C799,Female,0,Yes,Yes,63,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),97.00564936585758,6115.483356281247,No
2169-C750,Female,0,Yes,Yes,20,No,No,No,No,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,48.5848315848753,995.0031248321975,No
3803-C846,Female,0,Yes,No,65,No,Yes,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,69.74953987321618,4533.459956635008,No
5010-A573,Female,1,Yes,No,40,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Mailed check,80.65699217585782,3237.6407978746397,No
7216-B755,Male,0,Yes,Yes,23,No,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.6078125309125,2319.3709439262966,No
4598-C432,Male,1,No,Yes,34,No,No,No,Yes,No,No internet service,No,No internet service,Yes,Two year,No,Electronic check,94.76956084304722,3241.379463929138,No
1916-A941,Female,1,Yes,Yes,55,Yes,No,DSL,No internet service,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,117.54151975822572,6455.083779128058,No
1525-B510,Female,0,Yes,No,29,Yes,No,No,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,19.062509991266094,547.8596496987154,No
5386-A316,Female,0,No,Yes,56,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),62.21768880674487,3474.83349866302,Yes
6155-A771,Male,1,Yes,Yes,46,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),43.98247088080085,2022.4144844644404,No
9179-B758,Female,1,Yes,No,34,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),30.299285408059777,1018.9284607919575,No
8517-A371,Male,0,No,No,18,Yes,Yes,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,No,Mailed check,109.85729048080205,1962.1703895818848,No
3287-A862,Male,0,Yes,No,7,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),118.54518764261647,808.4820784661275,No
9830-B864,Male,0,Yes,Yes,25,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,36.39991889442473,888.023276270651,No
8019-C508,Male,1,Yes,No,70,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.112555976537042,1554.4428352632144,No
6930-A241,Male,0,No,No,29,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,45.892971991890285,1326.3418052680909,No
9348-B193,Female,0,Yes,Yes,6,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),102.15362276567276,600.5842159850839,No
1771-A256,Female,0,Yes,No,66,No,Yes,No,Yes,No internet service,Yes,No,No internet service,No,One year,No,Mailed check,47.785953361531334,3147.2821255439453,No
3621-C532,Female,0,No,Yes,64,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),23.968598790010965,1528.7112930903104,No
2040-B490,Female,0,Yes,Yes,35,No,Yes,No,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),23.525464487279507,813.7452549532105,Yes
8668-C357,Female,0,No,No,24,No,No,No,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,61.20599163812836,1484.9993042574533,Yes
1188-C838,Male,0,No,No,36,No,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,111.89848516769278,4042.513755065083,No
2876-C649,Female,0,Yes,No,0,No,No,DSL,No,No,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),46.98500438478301,15.884898486119397,No
5371-C448,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),61.179346910454896,858.3028206232497,Yes
2827-B545,Male,0,No,No,36,No,No,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.49434744095216,1028.6011527436694,No
3591-B103,Female,1,Yes,No,12,No,Yes,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),67.8540657235326,807.7226481085415,Yes
5315-C880,Male,0,No,Yes,7,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),88.25297996071325,609.3001486627055,No
3927-C208,Female,0,No,Yes,4,No,No,DSL,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),45.50061129831057,182.21970101078432,Yes
5889-C619,Male,1,Yes,No,59,No,No,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,48.06948650713282,2842.623264172303,Yes
4258-A482,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,102.86849005333026,7418.488965358372,Yes
3646-C897,Female,0,Yes,No,0,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),19.291554095891296,0.0,Yes
9689-A713,Male,0,No,Yes,35,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,82.21530620928475,2865.0083788372626,No
6310-B119,Male,0,Yes,Yes,34,No,Yes,DSL,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),57.835405811632505,1973.743647461168,No
2832-B999,Male,0,No,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,48.23724161292763,3117.2392693250044,Yes
6038-A159,Male,0,No,No,62,No,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),84.33818014050965,5228.575063021712,No
4946-C180,Male,0,No,Yes,22,No,No,No,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,102.13418643986537,2247.845147935172,No
2403-C597,Male,0,No,No,8,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,74.3684076910317,591.1593835159144,Yes
2133-C884,Male,0,No,Yes,33,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),21.375009505277127,689.9228625890496,No
3060-A775,Male,0,No,Yes,45,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,64.62081967797039,2904.280775418455,No
8787-C269,Female,0,No,Yes,3,Yes,No,No,No,No,No,No internet service,No,No,One year,Yes,Credit card (automatic),64.7573740598443,210.69754668954906,No
